Id,Text,Type
00001,"[Call](สวัสดีค่ะ เนื่องจากคุณเป็นผู้โชคดีได้รับโทรศัพท์ iPhone 16 32GB ฟรี 1 เครื่องค่ะ) [User](จริงหรอค่ะ) [Call](จริงค่ะ หากคุณต้องการรับโทรศัพท์นี้ โปรดติดต่อ Line @iDle23 เพื่อแจ้งที่อยู่นะคะ)",Scam
00002,"[Call](มึงว่างป่ะ ไปกินชาบูกัน) [User](ได้ๆ กี่โมงล่ะ) [Call](วันนี้สัก 6 โมงเย็น) [User](โอเค เจอกันนะ)",General
00003,"[Call](Your Verification key is 123456. Please do not share this code with anyone.)",Verification-call
00004,"[Call](เรียนคุณสมชาย ธนาคารกรุงเทพขอแจ้งว่าบัญชีของท่านมีธุรกรรมต้องยืนยันตัวตน กดลิงก์นี้ bit.ly/secure-auth) [User](ครับ/ค่ะ) [Call](กรุณาดำเนินการภายใน 15 นาที)",Scam
00005,"[Call](สวัสดีค่ะ คุณสมหมาย สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเงินช่วยเหลือ กรุณากด 1 เพื่อยืนยันข้อมูล) [User](กด 1) [Call](ขอบคุณค่ะ ดำเนินการเรียบร้อย)",Official
00006,"[Call](เฮ้ เราอยู่แถวเซ็นทรัล อยากเจอป่ะ) [User](ไปคาเฟ่ดีไหม) [Call](ได้ ไปเจอกันโลตัสไดร์ฟทรู)",General
00007,"[Call](รหัส OTP ของคุณคือ 789012 กรุณาอย่าเผยแพร่หมายเลขนี้กับผู้อื่น)",Verification-call
00008,"[Call](ขอเรียนนายกสรรเพชร กระทรวงสาธารณสุข แจ้งเตือนสถานการณ์โควิด กรุณาเข้าเว็บไซต์ govcovid.go.th เพื่อรับข้อมูลล่าสุด)",Official
00009,"[Call](สวัสดีค่ะ พนักงานไปรษณีย์ โทรมาแจ้งว่าพัสดุของคุณถูกอายัด กรุณาชำระค่าธรรมเนียมผ่าน AirPay ภายในวันนี้)",Scam
00010,"[Call](หวัดดี เราคิดถึงแก) [User](คิดถึงเหมือนกัน) [Call](ไปเจอกันวันเสาร์ไหม)",General
00011,"[Call](รหัสยืนยันสำหรับการรีเซ็ตรหัสผ่านของคุณคือ ABCD1234)",Verification-call
00012,"[Call](สวัสดีค่ะ เรียนเชิญเข้าร่วมสอบสัมภาษณ์งานที่บริษัท ABC กรุณายืนยันการรับสายโดยตอบ 1)",Official
00013,"[Call](...)",Unknow
00014,"[Call](ขอข้อมูลเพิ่มเติมเกี่ยวกับสวัสดิการที่ได้รับ) [User](สวัสดิการอะไรครับ) [Call](...)",Unknow
00015,"[Call](สวัสดีค่ะ โรงเรียนอนุบาลรุ่งเรื่อง โทรมาสอบถามเกี่ยวกับการลงทะเบียนปีการศึกษาใหม่ค่ะ)",General
00016,"[Call](สวัสดีครับ พนักงาน AIS โทรมาสอบถามว่าคุณต้องการเพิ่มแพ็กเกจเน็ต 5GB ในราคา 99 บาทไหม) [User](ขอรายละเอียดเพิ่มเติมครับ)",General
00017,"[Call](เรียนคุณณัฐพล กระทรวงสาธารณสุขโทรมาแจ้งนัดฉีดวัคซีน คุณสามารถรับการฉีดวัคซีนได้วันที่ 24 เมษายน)",Official
00018,"[Call](สวัสดีค่ะ ฝ่ายลูกค้าสัมพันธ์ธนาคารกรุงเทพค่ะ แจ้งว่ามีข้อสงสัยเกี่ยวกับรายการเดินบัญชีของท่าน)",Official
00019,"[Call](Your OTP for transaction is 736482)",Verification-call
00020,"[Call](คุณได้รับเงินคืนจากกรมสรรพากร 1,200 บาท กรุณากด *456# เพื่อรับสิทธิ์)",Scam
00021,"[Call](เฮ้ ไปดูหนังกันมั้ยคืนนี้) [User](นัดเจอกันที่โรงหนังไหน) [Call](ตรงข้ามห้างเดอะมอลล์)",General
00022,"[Call](แจ้งเตือนความปลอดภัย บัญชีไลน์ของคุณถูกระงับ โปรดส่งรหัส 4 หลักเพื่อยืนยัน)",Scam
00023,"[Call](Your verification code is 891230)",Verification-call
00024,"[Call](เรียนลูกค้า TrueMove H โปรดเก็บ SMS นี้ไว้เพื่อยืนยันการเปิดบริการเสริม)",Official
00025,"[Call](...)",Unknow
00026,"[Call](แฟนเธอคือใคร ฉันอยากรู้จัก) [User](ฉันไม่สะดวกคุยเรื่องนี้)",General
