text,label
"บัญชีคุณถูกระงับ กรุณายืนยันข้อมูลที่ bit.ly/abc ภายใน 24 ชม.",phishing
"กรุณากรอก OTP เพื่อรับเงินคืน",phishing
"พัสดุของคุณตกค้าง ชำระค่าธรรมเนียม 19 บาทที่ shorturl.at/abc",scam
"กู้เงินด่วน ไม่เช็คเครดิต อนุมัติไว",scam
"เครดิตฟรี 100 บาท สมัครเลย",spam
"โปรโมชันลดราคาจากร้านค้า วันนี้เท่านั้น",spam
"แจ้งเตือนประชุมทีมเวลา 10 โมง",legitimate
"ใบแจ้งหนี้ประจำเดือนถูกส่งให้แล้ว",legitimate
"ระบบจะปิดปรับปรุงคืนนี้เวลา 23.00 น.",legitimate
"พบกิจกรรมผิดปกติ กรุณา login เพื่อยืนยันตัวตน",phishing
"ลงทุนวันนี้รับผลตอบแทน 30% ต่อเดือน",scam
"ขอบคุณที่ใช้บริการ รายการของคุณสำเร็จแล้ว",legitimate
