text,label
"คุณได้รับสิทธิ์เงินช่วยเหลือ 50,000 บาท กรุณาโอนค่าดำเนินการ 499 บาทก่อน",scam
"พบการเข้าสู่ระบบผิดปกติใน Mobile Banking โปรดกรอก OTP ที่ rebrand.ly/verify102064 ทันที",phishing
"อนุมัติสินเชื่อด่วนวงเงิน 200,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"ใบเสร็จค่าบริการ สมาชิกฟิตเนส ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"แจ้งเตือนจาก ttb: หากไม่ยืนยันข้อมูลส่วนตัวใน 10 นาที บัญชีจะถูกล็อก cutt.ly/k100343",phishing
"ร้านของเราจัดดีลพิเศษสำหรับ อินเทอร์เน็ต สมัครวันนี้รับส่วนลดทันที",spam
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"คำสั่งซื้อเลขที่ TH10231 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"พัสดุจาก ไปรษณีย์ไทย ตกค้าง ชำระค่าธรรมเนียม 499 บาทที่ bit.ly/pay104467",scam
"สมาชิกใหม่รับเครดิตฟรี 1200 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"คุณได้รับสิทธิ์เงินช่วยเหลือ 120,000 บาท กรุณาโอนค่าดำเนินการ 199 บาทก่อน",scam
"Flash Sale ทองคำ 1 บาท จำนวนจำกัด รีบสั่งก่อนหมด",spam
"คำสั่งซื้อเลขที่ TH66209 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"ลงทุนวันนี้ รับผลตอบแทน 20% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"คุณได้รับสิทธิ์เงินช่วยเหลือ 120,000 บาท กรุณาโอนค่าดำเนินการ 19 บาทก่อน",scam
"คอร์สออนไลน์ใหม่ ลดราคา 90% สำหรับ 100 คนแรก",spam
"โปรโมชันแรง iPhone 16 ลดสูงสุด 70% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
"งานเสริมออนไลน์ รายได้วันละ 1500 บาท โอนค่าสมัคร 199 บาท เริ่มงานทันที",scam
"ระบบจะปิดปรับปรุงวันที่ 02/06/2026 เวลา 10:30 - 12:00 น.",legitimate
"คอร์สออนไลน์ใหม่ ลดราคา 20% สำหรับ 100 คนแรก",spam
"ร้านของเราจัดดีลพิเศษสำหรับ ค่าน้ำไฟ สมัครวันนี้รับส่วนลดทันที",spam
"แจ้งเตือนจาก Krungthai: หากไม่ยืนยันข้อมูลส่วนตัวใน 10 นาที บัญชีจะถูกล็อก cutt.ly/k103401",phishing
"งานเสริมออนไลน์ รายได้วันละ 1200 บาท โอนค่าสมัคร 19 บาท เริ่มงานทันที",scam
"ยืนยันตัวตน e-KYC ด่วนผ่าน bit.ly/ekyc103656 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
"แจ้งเตือนจาก SCB: หากไม่ยืนยันข้อมูลส่วนตัวใน 45 นาที บัญชีจะถูกล็อก cutt.ly/k101357",phishing
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 100 บาท",spam
"คำสั่งซื้อเลขที่ TH10231 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"งานเสริมออนไลน์ รายได้วันละ 800 บาท โอนค่าสมัคร 99 บาท เริ่มงานทันที",scam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 18/05/2026 เวลา 13:00 น.",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 499 บาท แล้วเริ่มงานได้ทันที",scam
"เรียนลูกค้า กรุงเทพ กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ s.id/kyc104313 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"ใบเสร็จค่าบริการ บัตรเครดิต ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"คอร์สออนไลน์ใหม่ ลดราคา 40% สำหรับ 100 คนแรก",spam
"เรียนลูกค้า กรุงศรี กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ shorturl.at/kyc101366 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 499 บาท แล้วเริ่มงานได้ทันที",scam
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 49 บาท",scam
"พบการเข้าสู่ระบบผิดปกติใน แอปธนาคาร โปรดกรอก OTP ที่ shorturl.at/verify103922 ทันที",phishing
"ลงทุนวันนี้ รับผลตอบแทน 10% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"คุณได้รับสิทธิ์เงินช่วยเหลือ 30,000 บาท กรุณาโอนค่าดำเนินการ 49 บาทก่อน",scam
"อนุมัติสินเชื่อด่วนวงเงิน 30,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"สมาชิกใหม่รับเครดิตฟรี 1200 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 12/05/2026 เวลา 10:30 น.",legitimate
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 100 บาท",spam
"พบการเข้าสู่ระบบผิดปกติใน พอร์ทัลลูกค้า โปรดกรอก OTP ที่ s.id/verify101573 ทันที",phishing
"ระบบจะปิดปรับปรุงวันที่ 02/06/2026 เวลา 15:30 - 17:00 น.",legitimate
"พัสดุจาก ไปรษณีย์ไทย ตกค้าง ชำระค่าธรรมเนียม 499 บาทที่ s.id/pay101528",scam
"ยืนยันการชำระเงินสำเร็จ ยอด 1500 บาท เมื่อ 18/05/2026",legitimate
"แจ้งเตือนต่ออายุแพ็กเกจ แพ็กเกจมือถือ ภายใน 7 วัน",legitimate
"งานเสริมออนไลน์ รายได้วันละ 100 บาท โอนค่าสมัคร 19 บาท เริ่มงานทันที",scam
"ลงทุนวันนี้ รับผลตอบแทน 90% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"ระบบจะปิดปรับปรุงวันที่ 10/06/2026 เวลา 13:00 - 21:00 น.",legitimate
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ cutt.ly/secure101501 ก่อนถูกระงับ",phishing
"คำสั่งซื้อเลขที่ TH30977 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"คำสั่งซื้อเลขที่ TH55021 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 299 บาท แล้วเริ่มงานได้ทันที",scam
"เรียนลูกค้า ttb กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ tinyurl.com/kyc103013 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 499 บาท",scam
"พบการเข้าสู่ระบบผิดปกติใน เว็บไซต์ โปรดกรอก OTP ที่ shorturl.at/verify101746 ทันที",phishing
"สมาชิกใหม่รับเครดิตฟรี 500 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"งานเสริมออนไลน์ รายได้วันละ 1200 บาท โอนค่าสมัคร 499 บาท เริ่มงานทันที",scam
"เรียนลูกค้า Krungthai กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ bit.ly/kyc100209 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 800 บาท",spam
"คอร์สออนไลน์ใหม่ ลดราคา 30% สำหรับ 100 คนแรก",spam
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 499 บาท",scam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 25/05/2026 เวลา 09:00 น.",legitimate
"ลงทุนวันนี้ รับผลตอบแทน 90% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 12/05/2026 เวลา 09:00 น.",legitimate
"คำสั่งซื้อเลขที่ TH20488 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"อนุมัติสินเชื่อด่วนวงเงิน 30,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"คำสั่งซื้อเลขที่ TH55021 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"ยืนยันการชำระเงินสำเร็จ ยอด 100 บาท เมื่อ 25/05/2026",legitimate
"งานเสริมออนไลน์ รายได้วันละ 300 บาท โอนค่าสมัคร 49 บาท เริ่มงานทันที",scam
"บัญชี ออมสิน ของคุณถูกระงับชั่วคราว กรุณายืนยันตัวตนผ่าน bit.ly/auth102870 ภายใน 2 ชม.",phishing
"อนุมัติสินเชื่อด่วนวงเงิน 120,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 10/06/2026 เวลา 10:30 น.",legitimate
"คอร์สออนไลน์ใหม่ ลดราคา 10% สำหรับ 100 คนแรก",spam
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"ลงทุนวันนี้ รับผลตอบแทน 40% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"ลงทุนวันนี้ รับผลตอบแทน 50% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน bit.ly/pin102448 ภายในวันนี้",phishing
"แจ้งเตือนจาก ttb: หากไม่ยืนยันข้อมูลส่วนตัวใน 30 นาที บัญชีจะถูกล็อก tinyurl.com/k102052",phishing
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 99 บาท แล้วเริ่มงานได้ทันที",scam
"งานเสริมออนไลน์ รายได้วันละ 800 บาท โอนค่าสมัคร 499 บาท เริ่มงานทันที",scam
"ใบเสร็จค่าบริการ แพ็กเกจมือถือ ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"เรียนลูกค้า Krungthai กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ tinyurl.com/kyc102756 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"ใบเสร็จค่าบริการ สมาชิกฟิตเนส ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน rebrand.ly/pin102254 ภายในวันนี้",phishing
"ระบบจะปิดปรับปรุงวันที่ 10/06/2026 เวลา 10:30 - 14:30 น.",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 299 บาท แล้วเริ่มงานได้ทันที",scam
"คอร์สออนไลน์ใหม่ ลดราคา 40% สำหรับ 100 คนแรก",spam
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ bit.ly/secure104028 ก่อนถูกระงับ",phishing
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 10:30 น. ห้องประชุม B",legitimate
"งานเสริมออนไลน์ รายได้วันละ 800 บาท โอนค่าสมัคร 299 บาท เริ่มงานทันที",scam
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ rebrand.ly/secure101192 ก่อนถูกระงับ",phishing
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน tinyurl.com/pin102587 ภายในวันนี้",phishing
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 299 บาท",scam
"ร้านของเราจัดดีลพิเศษสำหรับ บัตรเครดิต สมัครวันนี้รับส่วนลดทันที",spam
"ร้านของเราจัดดีลพิเศษสำหรับ สมาชิกฟิตเนส สมัครวันนี้รับส่วนลดทันที",spam
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ shorturl.at/secure101514 ก่อนถูกระงับ",phishing
"ลงทุนวันนี้ รับผลตอบแทน 20% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"งานเสริมออนไลน์ รายได้วันละ 100 บาท โอนค่าสมัคร 19 บาท เริ่มงานทันที",scam
"อนุมัติสินเชื่อด่วนวงเงิน 80,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 800 บาท",spam
"โปรโมชันแรง iPhone 16 ลดสูงสุด 40% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
